HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,is_churned
"$100,000 - $124,999",OWNER,Hispanic,N,8,55-59,Spanish,TUSTIN,ORANGE,$4.00 - $4.99,7day,YW,0,CustCall,1
"$100,000 - $124,999",OWNER,Hispanic,Y,11,30-34,English,ORANGE,ORANGE,$1.00 - $1.99,sunonly,MM,0,Partner,1
"$  20,000 - $29,999",OWNER,Hispanic,N,3,45-49,Spanish,ANAHEIM,ORANGE,$4.00 - $4.99,7day,FE,0,Kiosk,1
"Under $20,000",RENTER,Hispanic,N,8,50-54,Spanish,ANAHEIM,ORANGE,$4.00 - $4.99,7day,FE,0,Crew,1
"$  50,000 - $59,999",OWNER,English,N,32,70-74,English,HUNTINGTON BEACH,ORANGE,$0 - $0.01,7day,MW,0,Partner,0
"$  20,000 - $29,999",RENTER,Hispanic,N,4,40-44,English,TUSTIN,ORANGE,$4.00 - $4.99,7day,FE,0,Crew,1
"$  70,000 - $79,999",RENTER,French,Y,4,40-44,English,HUNTINGTON BEACH,ORANGE,$0 - $0.01,sunonly,YM,0,Partner,1
"$  30,000 - $39,999",OWNER,English,N,1,25-29,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,7day,FM,0,SCinsert,1
"$  20,000 - $29,999",RENTER,unknown,N,1,65-69,unknown,FOUNTAIN VALLEY,ORANGE,$5.00 - $5.99,7day,MM,0,CustCall,0
"$150,000 - $174,999",OWNER,English,N,21,70-74,English,HUNTINGTON BEACH,ORANGE,$4.00 - $4.99,7day,MW,0,Kiosk,1
"$100,000 - $124,999",OWNER,Hispanic,N,29,60-64,English,COSTA MESA,ORANGE,$0 - $0.01,sunonly,MW,0,Partner,1
"$175,000 - $199,999",OWNER,Scottish (Scotch),N,21,60-64,English,COSTA MESA,ORANGE,$1.00 - $1.99,7day,MM,0,TeleIn,1
"$  40,000 - $49,999",RENTER,Swedish,N,9,70-74,English,TUSTIN,ORANGE,$1.00 - $1.99,7day,MM,0,TeleIn,1
"$  50,000 - $59,999",OWNER,Scottish (Scotch),N,33,75 years or more,English,COSTA MESA,ORANGE,$9.00 - $9.99,7day,MW,14,TeleIn,1
"$200,000 - $249,999",OWNER,French,Y,23,50-54,English,LA MIRADA,LOS ANGELES,$0.01 - $0.50,sunonly,MW,0,Internet,1
"$150,000 - $174,999",OWNER,Vietnamese,N,6,40-44,Vietnamese,FOUNTAIN VALLEY,ORANGE,$0.01 - $0.50,7day,MW,0,Partner,0
"$  70,000 - $79,999",RENTER,English,Y,2,40-44,English,HUNTINGTON BEACH,ORANGE,$0.51 - $0.99,sunonly,YM,0,TeleOut,1
"$  50,000 - $59,999",RENTER,unknown,N,2,45-49,unknown,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,sunonly,YM,0,Crew,1
"$  30,000 - $39,999",RENTER,Italian,N,4,40-44,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,thu-sun,FE,0,Crew,1
"$300,000 - $399,999",OWNER,English,N,19,50-54,English,FOUNTAIN VALLEY,ORANGE,$2.00 - $2.99,satsun,MW,0,CustCall,1
"$125,000 - $149,999",RENTER,English,N,2,60-64,English,PLACENTIA,ORANGE,$4.00 - $4.99,7day,YM,8,CustCall,1
"$150,000 - $174,999",OWNER,Hispanic,N,6,40-44,Spanish,FOUNTAIN VALLEY,ORANGE,$4.00 - $4.99,7day,MM,0,CustCall,1
"$  60,000 - $69,999",OWNER,English,N,24,60-64,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,7dayol,MM,0,Internet,1
"$  40,000 - $49,999",RENTER,Swedish,N,3,45-49,English,HUNTINGTON BEACH,ORANGE,$4.00 - $4.99,7day,YM,0,DirectMl,1
"$100,000 - $124,999",OWNER,German,N,40,70-74,English,FOUNTAIN VALLEY,ORANGE,$1.00 - $1.99,sunonly,MW,0,TeleIn,1
"$100,000 - $124,999",OWNER,German,Y,41,60-64,English,HUNTINGTON BEACH,ORANGE,$3.00 - $3.99,7dayol,MW,0,Internet,1
"$  40,000 - $49,999",RENTER,Swedish,N,14,45-49,English,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,7day,YM,0,CircAdm,1
"$175,000 - $199,999",OWNER,Filipino (Philippine),N,15,65-69,English,CHINO HILLS,SAN BERNARDINO,$0.01 - $0.50,sunonly,FW,0,Partner,0
"$150,000 - $174,999",OWNER,unknown,N,44,75 years or more,unknown,FOUNTAIN VALLEY,ORANGE,$10.00 - $10.99,7day,MM,0,CustCall,1
"$150,000 - $174,999",OWNER,English,N,41,75 years or more,English,HUNTINGTON BEACH,ORANGE,$10.00 - $10.99,7day,MW,0,CustCall,0
"$  30,000 - $39,999",RENTER,Hispanic,N,16,55-59,Spanish,TUSTIN,ORANGE,$4.00 - $4.99,7day,FE,0,Crew,1
"$  70,000 - $79,999",OWNER,Hispanic,N,28,65-69,Spanish,FULLERTON,ORANGE,$7.00 - $7.99,7day,MM,0,TeleIn,1
"Under $20,000",RENTER,Vietnamese,N,8,70-74,Vietnamese,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,sunonly,ME,0,Internet,0
"$  80,000 - $89,999",OWNER,English,N,30,75 years or more,English,HUNTINGTON BEACH,ORANGE,$10.00 - $10.99,7day,MM,67,CustCall,0
"$125,000 - $149,999",OWNER,Jewish,Y,12,50-54,English,FOUNTAIN VALLEY,ORANGE,$2.00 - $2.99,satsun,YM,0,CustCall,1
"Under $20,000",RENTER,Hispanic,N,9,50-54,Spanish,TUSTIN,ORANGE,$4.00 - $4.99,7day,FE,0,TeleOut,1
"Under $20,000",OWNER,Hispanic,N,6,65-69,English,ANAHEIM,ORANGE,$0 - $0.01,thu-sun,FM,0,CircAdm,1
"$100,000 - $124,999",OWNER,German,Y,16,45-49,English,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,1
"$125,000 - $149,999",OWNER,Hispanic,N,17,65-69,English,FOUNTAIN VALLEY,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,1
"$  70,000 - $79,999",RENTER,English,N,2,55-59,English,COSTA MESA,ORANGE,$0.01 - $0.50,sunonly,MW,0,Internet,0
"$150,000 - $174,999",OWNER,Irish,N,35,65-69,English,ANAHEIM,ORANGE,$4.00 - $4.99,7day,MM,0,TeleIn,0
"$  50,000 - $59,999",RENTER,German,N,1,50-54,English,PLACENTIA,ORANGE,$4.00 - $4.99,7day,FM,0,CustCall,1
"Under $20,000",RENTER,French,N,1,50-54,English,ANAHEIM,ORANGE,$3.00 - $3.99,7day,ME,0,Crew4,1
"$  30,000 - $39,999",RENTER,Arab,N,1,70-74,English,ANAHEIM,ORANGE,$1.00 - $1.99,sooooos,ME,0,CircAdm,1
"$  30,000 - $39,999",RENTER,English,N,12,60-64,English,ANAHEIM,ORANGE,$5.00 - $5.99,7day,ME,0,CustCall,1
"$100,000 - $124,999",RENTER,Welsh,N,10,65-69,English,ANAHEIM,ORANGE,$0.01 - $0.50,sunonly,YM,0,Partner,1
"Under $20,000",RENTER,English,N,4,65-69,English,ANAHEIM,ORANGE,$2.00 - $2.99,7day,YM,0,SCinsert,1
"$200,000 - $249,999",OWNER,unknown,N,32,65-69,unknown,HUNTINGTON BEACH,ORANGE,$0.51 - $0.99,sunonly,MW,0,CircAdm,1
"$  50,000 - $59,999",OWNER,Italian,N,13,75 years or more,English,WHITTIER,LOS ANGELES,$1.00 - $1.99,7day,MM,0,TeleIn,1
"$  20,000 - $29,999",RENTER,Hispanic,N,2,65-69,Spanish,TUSTIN,ORANGE,$1.00 - $1.99,7day,FM,0,TeleIn,1
"Under $20,000",RENTER,Hispanic,N,9,24 years or less,Spanish,PLACENTIA,ORANGE,$0.51 - $0.99,soooooo,YM,0,Partner,1
"$150,000 - $174,999",OWNER,Italian,Y,15,75 years or more,English,LA HABRA,LOS ANGELES,$0.01 - $0.50,sunonly,FM,0,Partner,1
"$100,000 - $124,999",OWNER,English,N,26,70-74,English,FOUNTAIN VALLEY,ORANGE,$2.00 - $2.99,sunonly,ME,0,TeleIn,1
"$400,000 - $499,999",OWNER,Chinese,N,9,35-39,English,TUSTIN,ORANGE,$3.00 - $3.99,7dayt,YW,0,CustCall,1
"$125,000 - $149,999",RENTER,unknown,Y,3,35-39,unknown,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,thu-sun,YM,0,Crew,1
"$  50,000 - $59,999",OWNER,Irish,N,31,60-64,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,7day,MW,0,System,1
"$  50,000 - $59,999",RENTER,English,N,2,25-29,English,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,sunonly,FM,0,SCinsert,1
"$  40,000 - $49,999",OWNER,English,N,18,60-64,English,HUNTINGTON BEACH,ORANGE,$3.00 - $3.99,7day,FM,0,CustCall,1
"$300,000 - $399,999",OWNER,English,Y,18,40-44,English,LAGUNA BEACH,ORANGE,$3.00 - $3.99,7dayol,YW,0,Internet,1
"Under $20,000",OWNER,Hispanic,Y,1,35-39,English,BREA,ORANGE,$0.01 - $0.50,sunonly,FE,0,Partner,0
"Under $20,000",OWNER,Vietnamese,N,5,50-54,Vietnamese,ANAHEIM,ORANGE,$1.00 - $1.99,7day,FM,0,TeleIn,1
"$  80,000 - $89,999",OWNER,English,N,48,75 years or more,English,ANAHEIM,ORANGE,$10.00 - $10.99,7day,MW,0,CustCall,0
"Under $20,000",OWNER,English,N,23,70-74,English,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,7day,FM,0,CircAdm,1
"$300,000 - $399,999",OWNER,Scottish (Scotch),Y,19,50-54,English,HUNTINGTON BEACH,ORANGE,$4.00 - $4.99,thu-sun,MW,0,RetenIn,1
"$  20,000 - $29,999",OWNER,English,N,2,50-54,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,fri-sun,MW,0,DirectMl,1
"$100,000 - $124,999",OWNER,Hispanic,N,10,30-34,Spanish,TUSTIN,ORANGE,$0.01 - $0.50,sunonly,FE,0,Partner,1
"$  60,000 - $69,999",OWNER,English,N,23,45-49,English,CORONA,RIVERSIDE,$0.01 - $0.50,sunonly,MM,0,Partner,1
"$150,000 - $174,999",OWNER,Irish,N,24,55-59,English,FOUNTAIN VALLEY,ORANGE,$0.51 - $0.99,fri-sun,MW,0,CircAdm,1
"$  80,000 - $89,999",OWNER,unknown,N,1,35-39,unknown,WHITTIER,LOS ANGELES,$9.00 - $9.99,7day,FM,0,VRU,0
"$300,000 - $399,999",OWNER,Welsh,N,21,70-74,English,ORANGE,ORANGE,$10.00 - $10.99,7day,FW,0,CustCall,0
"$  60,000 - $69,999",OWNER,Italian,N,3,40-44,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,thu-sun,FM,0,System,1
"$  70,000 - $79,999",OWNER,English,N,22,75 years or more,English,YORBA LINDA,ORANGE,$2.00 - $2.99,sunonly,YW,0,CustCall,1
"$  40,000 - $49,999",RENTER,English,N,8,55-59,English,HUNTINGTON BEACH,ORANGE,$4.00 - $4.99,7day,FE,0,SCinsert,1
"$  90,000 - $99,999",OWNER,Irish,N,23,75 years or more,English,FOUNTAIN VALLEY,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,23,55-59,English,ORANGE,ORANGE,$5.00 - $5.99,7day,FW,0,CustCall,1
"$  20,000 - $29,999",OWNER,Jewish,N,3,35-39,English,TUSTIN,ORANGE,$1.00 - $1.99,sunonly,FE,0,Kiosk,1
"$  60,000 - $69,999",OWNER,English,N,16,50-54,English,ANAHEIM,ORANGE,$4.00 - $4.99,7day,MW,110,CustCall,0
"$  30,000 - $39,999",RENTER,Jewish,N,6,25-29,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,soootfs,YM,0,RetenIn,1
"$300,000 - $399,999",OWNER,English,N,42,70-74,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,sunonly,MW,9,CustCall,0
"$  30,000 - $39,999",RENTER,unknown,N,4,25-29,unknown,HUNTINGTON BEACH,ORANGE,$4.00 - $4.99,7day,YM,31,CustCall,0
"$100,000 - $124,999",OWNER,unknown,N,18,45-49,unknown,HUNTINGTON BEACH,ORANGE,$0.51 - $0.99,thu-sun,MW,0,TeleIn,1
"$125,000 - $149,999",OWNER,Jewish,N,20,55-59,English,FOUNTAIN VALLEY,ORANGE,$4.00 - $4.99,thu-sun,MW,0,CustCall,0
"$150,000 - $174,999",OWNER,Irish,Y,14,45-49,English,CHINO HILLS,SAN BERNARDINO,$0.01 - $0.50,sunonly,FW,0,Partner,1
"$  30,000 - $39,999",OWNER,German,N,20,50-54,English,HUNTINGTON BEACH,ORANGE,$3.00 - $3.99,soooooo,MW,0,DirectMl,1
"$300,000 - $399,999",OWNER,African (other),Y,23,50-54,English,FOUNTAIN VALLEY,ORANGE,$0.01 - $0.50,sunonly,MM,0,DirectMl,0
"$  40,000 - $49,999",RENTER,multi-ethnic,Y,6,45-49,English,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,sunonly,FE,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,34,60-64,English,COSTA MESA,ORANGE,$0.01 - $0.50,sunonly,YM,0,Partner,1
"$125,000 - $149,999",RENTER,Italian,Y,6,30-34,English,IRVINE,ORANGE,$0 - $0.01,sunonly,YM,0,Partner,1
"$200,000 - $249,999",RENTER,unknown,Y,4,50-54,unknown,ORANGE,ORANGE,$0 - $0.01,sunonly,FE,0,Partner,1
"$  80,000 - $89,999",OWNER,Swedish,N,32,75 years or more,English,YORBA LINDA,ORANGE,$9.00 - $9.99,7day,FW,0,CustCall,1
"$200,000 - $249,999",RENTER,Indian,Y,3,40-44,Hindi,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,7day,MM,0,Crew1,0
"$150,000 - $174,999",RENTER,German,N,1,50-54,English,HUNTINGTON BEACH,ORANGE,$3.00 - $3.99,7day,MM,14,VRU,0
"$  60,000 - $69,999",RENTER,Irish,N,1,30-34,English,HUNTINGTON BEACH,ORANGE,$7.00 - $7.99,7day,YM,0,Crew,1
"$  20,000 - $29,999",RENTER,Hispanic,N,4,35-39,English,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,sunonly,FE,0,Partner,0
"$150,000 - $174,999",OWNER,Portuguese,Y,6,30-34,English,FULLERTON,ORANGE,$3.00 - $3.99,thu-sun,FE,0,Kiosk1,1
"$  40,000 - $49,999",OWNER,Hispanic,N,18,45-49,English,SANTA ANA,ORANGE,$3.00 - $3.99,thu-sun,FM,0,Crew1,1
"$300,000 - $399,999",OWNER,Indian,N,8,55-59,Hindi,CHINO HILLS,SAN BERNARDINO,$4.00 - $4.99,7day,YW,0,Internet,1
"$175,000 - $199,999",OWNER,unknown,Y,5,25-29,unknown,LAGUNA BEACH,ORANGE,$1.00 - $1.99,sunonly,YW,0,TeleIn,1
"$175,000 - $199,999",OWNER,Italian,N,38,70-74,English,ORANGE,ORANGE,$0.01 - $0.50,sunonly,YW,0,CustCall,0
"Under $20,000",RENTER,Filipino (Philippine),N,1,35-39,English,LONG BEACH,LOS ANGELES,$0.01 - $0.50,7day,YM,0,Crew,1
"$150,000 - $174,999",OWNER,Scottish (Scotch),N,5,50-54,English,WHITTIER,LOS ANGELES,$2.00 - $2.99,thu-sun,YW,0,Crew,1
"$  40,000 - $49,999",OWNER,Irish,N,1,55-59,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,sunonly,FM,0,Crew,1
"$  50,000 - $59,999",RENTER,Hispanic,N,1,35-39,Spanish,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,sunonly,MW,0,System,1
"$  50,000 - $59,999",RENTER,Hispanic,N,17,75 years or more,Spanish,HUNTINGTON BEACH,ORANGE,$3.00 - $3.99,7day,FM,0,SCinsert,1
"$  70,000 - $79,999",OWNER,German,N,19,60-64,English,FOUNTAIN VALLEY,ORANGE,$2.00 - $2.99,thu-sun,YM,0,CustCall,1
"$  60,000 - $69,999",OWNER,unknown,Y,1,45-49,unknown,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,soooooo,FM,0,CustCall,1
"$  40,000 - $49,999",RENTER,Indian,N,1,25-29,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,sunonly,YM,0,TeleIn,1
"$  30,000 - $39,999",RENTER,Arab,N,4,25-29,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,thu-sun,YM,0,System,1
"$  60,000 - $69,999",RENTER,Hispanic,N,4,45-49,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,thu-sun,YM,0,SCinsert,1
"$  50,000 - $59,999",RENTER,African (other),N,5,55-59,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,7day,YM,0,Kiosk,1
"$  20,000 - $29,999",RENTER,Hispanic,N,1,24 years or less,Spanish,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,thu-sun,YM,0,Crew,1
"$  50,000 - $59,999",RENTER,English,N,2,25-29,English,HUNTINGTON BEACH,ORANGE,$0 - $0.01,sunonly,YM,0,Partner,1
"$125,000 - $149,999",OWNER,German,N,20,65-69,English,HUNTINGTON BEACH,ORANGE,$10.00 - $10.99,7day,MW,0,CustCall,0
"$  50,000 - $59,999",OWNER,English,N,7,45-49,English,FOUNTAIN VALLEY,ORANGE,$2.00 - $2.99,thu-sun,MM,0,TeleIn,1
"$125,000 - $149,999",OWNER,Italian,N,23,45-49,Italian,HUNTINGTON BEACH,ORANGE,$7.00 - $7.99,7day,MW,1,Crew,1
"$400,000 - $499,999",OWNER,Portuguese,N,10,45-49,Portuguese,CHINO HILLS,SAN BERNARDINO,$0.01 - $0.50,sunonly,FW,0,Partner,0
"$100,000 - $124,999",RENTER,Hispanic,N,9,60-64,Spanish,ANAHEIM,ORANGE,$4.00 - $4.99,7day,YM,0,Crew,1
"$150,000 - $174,999",RENTER,English,N,7,60-64,English,HUNTINGTON BEACH,ORANGE,$4.00 - $4.99,7day,YM,0,Internet,1
"Under $20,000",OWNER,Dutch,N,26,65-69,English,ORANGE,ORANGE,$10.00 - $10.99,7day,YM,0,CustCall,1
"$300,000 - $399,999",OWNER,Irish,N,24,65-69,English,ORANGE,ORANGE,$0.51 - $0.99,sunonly,YW,0,EMAIL4,0
"$  80,000 - $89,999",OWNER,Japanese,N,5,60-64,Japanese,COSTA MESA,ORANGE,$1.00 - $1.99,7day,MW,0,SCinsert,1
"$  40,000 - $49,999",OWNER,English,N,23,70-74,English,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,sunonly,MM,0,DirectMl,0
"$200,000 - $249,999",OWNER,English,N,28,70-74,English,CHINO HILLS,SAN BERNARDINO,$1.00 - $1.99,7day,YW,0,VRU,1
"$200,000 - $249,999",OWNER,English,Y,20,50-54,English,FOUNTAIN VALLEY,ORANGE,$0.01 - $0.50,sunonly,MW,15,CustCall,0
"$175,000 - $199,999",OWNER,English,N,22,60-64,English,HUNTINGTON BEACH,ORANGE,$3.00 - $3.99,sunonly,MW,0,Internet,0
"$  50,000 - $59,999",RENTER,English,N,18,45-49,English,HUNTINGTON BEACH,ORANGE,$10.00 - $10.99,7day,YM,2,CustCall,1
"$150,000 - $174,999",RENTER,Scottish (Scotch),Y,2,40-44,English,FULLERTON,ORANGE,$4.00 - $4.99,7dayt,FE,0,CustCall,1
"$175,000 - $199,999",OWNER,German,N,4,60-64,English,SEAL BEACH,ORANGE,$5.00 - $5.99,7day,MW,0,Internet,0
"$  60,000 - $69,999",OWNER,Irish,N,29,50-54,English,LONG BEACH,LOS ANGELES,$2.00 - $2.99,sunonly,FE,0,TeleOut,1
"$125,000 - $149,999",OWNER,Angolan,Y,30,65-69,Portuguese,FOUNTAIN VALLEY,ORANGE,$0.01 - $0.50,sunonly,MW,0,Partner,0
"$175,000 - $199,999",OWNER,African (other),N,34,70-74,English,COSTA MESA,ORANGE,$4.00 - $4.99,7day,YM,0,CustCall,1
"$  50,000 - $59,999",RENTER,Scottish (Scotch),N,1,60-64,English,HUNTINGTON BEACH,ORANGE,$0 - $0.01,7day,YM,0,CircAdm,1
"Under $20,000",RENTER,Irish,N,1,25-29,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,thu-sun,YM,0,Crew,1
"$  20,000 - $29,999",RENTER,English,N,1,65-69,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,thu-sun,MM,0,Internet,1
"$  50,000 - $59,999",RENTER,German,N,2,35-39,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,7day,YM,0,CircAdm,1
"$  60,000 - $69,999",RENTER,Jewish,N,4,30-34,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,thu-sun,YM,0,Crew,1
"$  50,000 - $59,999",RENTER,Hispanic,N,1,35-39,Spanish,HUNTINGTON BEACH,ORANGE,$4.00 - $4.99,7day,MM,0,CustCall,1
"$300,000 - $399,999",OWNER,Scottish (Scotch),Y,16,55-59,English,CORONA,RIVERSIDE,$0.01 - $0.50,sunonly,FW,0,Partner,1
"$  60,000 - $69,999",OWNER,Hispanic,Y,5,30-34,Spanish,ANAHEIM,ORANGE,$1.00 - $1.99,sunonly,MW,0,Partner,1
"Under $20,000",OWNER,English,N,37,70-74,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,thu-sun,ME,0,Crew,1
"$  40,000 - $49,999",RENTER,Chinese,Y,10,50-54,English,IRVINE,ORANGE,$0 - $0.01,sunonly,YM,0,Partner,1
"Under $20,000",RENTER,Irish,N,1,25-29,English,ANAHEIM,ORANGE,$4.00 - $4.99,7day,FE,0,Kiosk,1
"$100,000 - $124,999",OWNER,German,N,11,45-49,English,PLACENTIA,ORANGE,$2.00 - $2.99,satsun,YW,0,CustCall,1
"$400,000 - $499,999",OWNER,English,Y,16,45-49,English,CORONA,RIVERSIDE,$0.01 - $0.50,thu-sun,FW,0,Partner,1
"$100,000 - $124,999",OWNER,English,Y,12,35-39,English,HUNTINGTON BEACH,ORANGE,$0.51 - $0.99,sunonly,MW,0,DirectMl,1
"$  30,000 - $39,999",OWNER,Chinese,N,5,35-39,Chinese,CERRITOS,LOS ANGELES,$0.01 - $0.50,sunonly,FM,0,Partner,1
"$100,000 - $124,999",RENTER,Jewish,Y,20,45-49,English,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,sunonly,MM,0,Partner,1
"$100,000 - $124,999",OWNER,English,Y,4,50-54,English,ORANGE,ORANGE,$4.00 - $4.99,7day,YW,2,CustCall,1
"$400,000 - $499,999",OWNER,unknown,N,27,55-59,unknown,TUSTIN,ORANGE,$9.00 - $9.99,7day,MW,32,CustCall,0
"$125,000 - $149,999",OWNER,Czech,N,10,40-44,English,HUNTINGTON BEACH,ORANGE,$3.00 - $3.99,soooooo,YM,4,TeleIn,1
"$  60,000 - $69,999",RENTER,Hispanic,N,6,40-44,Spanish,HUNTINGTON BEACH,ORANGE,$0 - $0.01,sunonly,YM,0,Partner,1
"$  80,000 - $89,999",RENTER,Hispanic,N,3,40-44,Spanish,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,sunonly,YM,0,System,1
"$  60,000 - $69,999",RENTER,unknown,N,5,30-34,unknown,HUNTINGTON BEACH,ORANGE,$0 - $0.01,7day,FM,0,CircAdm,1
"$  40,000 - $49,999",OWNER,English,N,1,35-39,English,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,7day,FM,0,TeleIn,1
"$  90,000 - $99,999",OWNER,Scottish (Scotch),N,3,30-34,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,sunonly,ME,0,DirectMl,1
"$  90,000 - $99,999",OWNER,English,N,27,50-54,English,YORBA LINDA,ORANGE,$0.01 - $0.50,7day,FM,0,Internet,0
"$125,000 - $149,999",OWNER,Vietnamese,Y,13,55-59,English,FOUNTAIN VALLEY,ORANGE,$0.01 - $0.50,sunonly,MM,0,System,1
"$300,000 - $399,999",OWNER,English,N,14,50-54,English,HUNTINGTON BEACH,ORANGE,$1.00 - $1.99,7day,FM,0,TeleIn,1
"$  20,000 - $29,999",OWNER,Hispanic,N,19,55-59,Spanish,ANAHEIM,ORANGE,$2.00 - $2.99,thu-sun,MW,0,Crew,1
"$  70,000 - $79,999",RENTER,English,N,1,50-54,English,HUNTINGTON BEACH,ORANGE,$9.00 - $9.99,7day,MW,0,CustCall,1
"$  30,000 - $39,999",RENTER,Welsh,N,3,25-29,English,HUNTINGTON BEACH,ORANGE,$0.51 - $0.99,soooooo,YM,0,Crew,1
"$100,000 - $124,999",OWNER,Polish,N,24,70-74,English,HUNTINGTON BEACH,ORANGE,$7.00 - $7.99,7day,MW,0,CustCall,1
"$  80,000 - $89,999",OWNER,English,N,4,70-74,English,YORBA LINDA,ORANGE,$0 - $0.01,sunonly,MM,0,Partner,1
"$175,000 - $199,999",OWNER,English,N,16,50-54,English,HUNTINGTON BEACH,ORANGE,$0 - $0.01,sunonly,MW,0,Partner,1
"$  90,000 - $99,999",RENTER,Hispanic,N,5,55-59,English,HUNTINGTON BEACH,ORANGE,$0.01 - $0.50,thu-sun,YM,33,TeleIn,1
"Under $20,000",RENTER,Vietnamese,N,1,75 years or more,Vietnamese,HUNTINGTON BEACH,ORANGE,$2.00 - $2.99,thu-sunt,YM,0,SCinsert,1
"$100,000 - $124,999",OWNER,Indian,N,3,35-39,English,IRVINE,ORANGE,$0 - $0.01,sunonly,MM,0,Partner,0
"$  40,000 - $49,999",RENTER,Jewish,N,6,35-39,English,IRVINE,ORANGE,$3.00 - $3.99,thu-sun,YM,0,Crew1,1
"$  90,000 - $99,999",OWNER,Vietnamese,Y,27,65-69,English,ALISO VIEJO,ORANGE,$7.00 - $7.99,7day,MW,0,SCinsert,0
"$125,000 - $149,999",OWNER,German,Y,23,50-54,English,RANCHO SANTA MARGARITA,ORANGE,$0 - $0.01,sunonly,FM,0,Partner,1
"$150,000 - $174,999",OWNER,Swedish,N,3,50-54,English,LADERA RANCH,ORANGE,$3.00 - $3.99,sunonly,FW,0,Internet,0
"$200,000 - $249,999",OWNER,Japanese,N,6,45-49,Japanese,ALISO VIEJO,ORANGE,$2.00 - $2.99,7day,FW,0,CustCall,1
"$175,000 - $199,999",OWNER,English,Y,20,40-44,English,RANCHO SANTA MARGARITA,ORANGE,$0.01 - $0.50,sunonly,FW,0,Partner,0
"$200,000 - $249,999",OWNER,Chinese,N,7,50-54,Chinese,IRVINE,ORANGE,$0 - $0.01,sunonly,MW,0,Partner,1
"$  30,000 - $39,999",OWNER,Hispanic,N,31,70-74,Spanish,IRVINE,ORANGE,$10.00 - $10.99,7day,YM,7,CustCall,1
"$125,000 - $149,999",OWNER,Scottish (Scotch),N,26,65-69,English,LAGUNA NIGUEL,ORANGE,$1.00 - $1.99,thu-sun,MW,0,Crew,1
"$200,000 - $249,999",OWNER,Irish,Y,20,55-59,English,ALISO VIEJO,ORANGE,$0.01 - $0.50,thu-sun,FW,0,System,1
"$  60,000 - $69,999",OWNER,unknown,N,6,65-69,unknown,IRVINE,ORANGE,$4.00 - $4.99,thu-sun,MW,0,CustCall,0
"$300,000 - $399,999",OWNER,Scottish (Scotch),Y,21,45-49,English,TRABUCO CANYON,ORANGE,$4.00 - $4.99,7day,FW,0,TeleIn,1
"$200,000 - $249,999",OWNER,English,N,3,40-44,English,LADERA RANCH,ORANGE,$1.00 - $1.99,sunonly,YW,0,Internet,1
"$125,000 - $149,999",OWNER,Chinese,N,1,35-39,Chinese,LAGUNA NIGUEL,ORANGE,$4.00 - $4.99,7day,MW,0,TeleOut,1
"$  60,000 - $69,999",OWNER,Arab,N,5,50-54,English,LAGUNA HILLS,ORANGE,$4.00 - $4.99,7day,FM,0,System,1
